名称,详情页链接,评分,评论数,信息,图片链接
徐州汉画像石馆,https://you.ctrip.com/sight/xuzhou230/17380.html,4.7,(91),江苏省徐州市泉山区云龙湖东路5-1号,https://dimg04.c-ctrip.com/images/0100p120008k0mzki07EB_C_220_140.jpg
徐州水族展览馆,https://you.ctrip.com/sight/xuzhou230/70220.html,4.4,(119),江苏省徐州市泉山区湖中路1号,https://dimg04.c-ctrip.com/images/10090p000000fl1691C4F_C_220_140.jpg
兴化禅寺,https://you.ctrip.com/sight/xuzhou230/133879.html,4.4,(26),徐州市泉山区云东一道街32号,https://dimg04.c-ctrip.com/images/0102i120008k0mw8gCE29_C_220_140.jpg
徐州城下城遗址博物馆,https://you.ctrip.com/sight/xuzhou230/134718335.html,无评分,(暂无点评),江苏省徐州市鼓楼区中山北路彭城广场地下,https://dimg04.c-ctrip.com/images/01069120009yzdoas9111_C_220_140.jpg
歌风台,https://you.ctrip.com/sight/peicounty3075/141113.html,4,(66),徐州市沛县汉街沛县汉城景区,https://dimg04.c-ctrip.com/images/01028120009dh467h38E6_C_220_140.jpg
通天阁,https://you.ctrip.com/sight/xuzhou230/145119325.html,5,(1),宝莲寺路5号宝莲寺内,https://dimg04.c-ctrip.com/images/0103x12000dw9iu0e8A8A_C_220_140.jpg
东兴街夜市(万达广场徐州云龙店),https://you.ctrip.com/sight/xuzhou230/136632709.html,无评分,(暂无点评),江苏省徐州市云龙区和平大道58号万达广场F1,https://dimg04.c-ctrip.com/images/0103w12000cd7bjbg6264_C_220_140.jpg
徐州之夜,https://you.ctrip.com/sight/xuzhou230/145278496.html,无评分,(暂无点评),徐州市贾汪区湖西路与乌金路交叉路口往南约260米,https://dimg04.c-ctrip.com/images/0106k12000eosiwwm39FB_C_220_140.jpg
老东门今雨天地街区,https://you.ctrip.com/sight/xuzhou230/144110.html,4.1,(54),江苏省徐州市云龙区淮海东路104号,https://dimg04.c-ctrip.com/images/0102r120009ym1srx2B7C_C_220_140.jpg
户部山步行街,https://you.ctrip.com/sight/xuzhou230/5168315.html,4,(4),云龙区,https://dimg04.c-ctrip.com/images/0103l12000f6u6lxx28A1_C_220_140.jpg
徐州文庙东方街区-鼓楼,https://you.ctrip.com/sight/xuzhou230/148863834.html,5,(1),江苏省徐州市鼓楼区文庙街区(彭城广场地铁站18号口步行100米),https://dimg04.c-ctrip.com/images/1me4l12000fh0heoxB149_C_220_140.jpg
大运河,https://you.ctrip.com/sight/pizhou1560/141190.html,4.8,(88),徐州市邳州市京杭运河(沿河路南200米),https://dimg04.c-ctrip.com/images/0101512000f6ppoczCDEC_C_220_140.jpg
徐州方特水上乐园,https://you.ctrip.com/sight/xuzhou230/148858181.html,4.8,(5),徐州市铜山区方特大道1号,https://dimg04.c-ctrip.com/images/1lo7112000f6te8xj39B8_C_220_140.jpg
苏轼纪念馆,https://you.ctrip.com/sight/xuzhou230/136246361.html,5,(1),江苏省徐州市泉山区珠山东路云龙湖旅游景区苏公岛,https://dimg04.c-ctrip.com/images/0103612000bowywcl116A_C_220_140.jpg
邳州银杏时光隧道景区,https://you.ctrip.com/sight/pizhou1560/1788011.html,4.6,(50),江苏省徐州市邳州市G310与铁铁线交叉口西南侧800米,https://dimg04.c-ctrip.com/images/0102d120008e2dze30B35_C_220_140.jpg
徐州大龙湖风景区,https://you.ctrip.com/sight/xuzhou230/133832.html,4.9,(88),江苏省徐州市云龙区环湖路(大龙湖地铁站旁),https://dimg04.c-ctrip.com/images/0103a120008k0o7xg7509_C_220_140.jpg
